id,interval_low,interval_high
98,36.1218682326855,209.24967646575996
436,-30.998364516578675,142.12944371649579
17,90.9239934531401,264.05180168621456
210,36.11679911312828,209.24460734620274
177,125.88058900937568,299.00839724245014
229,19.20647291582165,192.3342811488961
69,41.540263347065064,214.66807158013953
227,11.601162363879567,184.728970596954
362,141.38181945479107,314.50962768786553
97,132.38311388890384,305.5109221219783
42,62.00917630315948,235.13698453623394
218,48.723482331205446,221.8512905642799
142,82.31069910195012,255.43850733502458
337,80.58039016719968,253.70819840027414
199,83.10897200289102,256.2367802359655
399,98.24266056756989,271.37046880064435
265,49.99399450637864,223.1218027394531
72,50.393178777038656,223.52098701011312
65,96.23324911615856,269.361057349233
295,72.44389867737803,245.5717069104525
409,85.85413175172164,258.9819399847961
173,13.66130916398376,186.78911739705822
171,9.6309493529387,182.75875758601316
254,166.62499852971305,339.7528067627875
440,119.77149906962359,292.89930730269805
159,140.69591896068624,313.8237271937607
24,74.92725971614567,248.05506794922013
61,87.97732847956405,261.1051367126385
77,9.711219135064368,182.83902736813883
343,75.39357799401432,248.52138622708878
310,117.96024905552474,291.0880572885992
354,114.90088809046475,288.0286963235392
302,115.35082505242576,288.4786332855002
376,120.46550791788118,293.5933161509556
152,110.50754304708616,283.63535128016065
130,158.45985047997812,331.5876587130526
338,44.344968514997475,217.47277674807194
413,42.92548523362149,216.05329346669595
15,81.44907414906672,254.57688238214118
328,100.38383143149414,273.51163966456863
380,86.64658526268934,259.7743934957638
55,-12.254086738328937,160.87372149474552
149,82.32036940333128,255.44817763640575
421,95.76338839352633,268.8911966266008
231,68.823715553993,241.95152378706746
299,34.90479653505284,208.0326047681273
96,111.61844944608862,284.7462576791631
83,65.87916378078395,239.00697201385842
417,72.43966294504119,245.56747117811565
41,-2.9764798063857683,170.15132842668868
8,75.00528666618362,248.13309489925808
126,-11.432523687392603,161.69528454568186
60,30.077951452671243,203.2057596857457
341,95.30393037467095,268.4317386077454
139,152.47267601430744,325.6004842473819
32,154.37762944685142,327.5054376799259
434,52.52634356315997,225.65415179623443
238,88.30673411639009,261.43454234946455
311,80.7289492192968,253.85675745237126
224,0.9209872922030797,174.04879552527754
288,-4.069189355693709,169.05861887738075
438,30.25928151845713,203.3870897515316
437,102.19035721981396,275.3181654528884
73,35.86010571584001,208.98791394891447
393,24.103088226082406,197.23089645915687
350,166.28385896637786,339.4116671994523
435,37.23153940273758,210.35934763581204
388,67.7751557490314,240.90296398210586
84,-33.7247591195968,139.40304911347766
330,89.0362343374506,262.16404257052505
10,27.768075023777186,200.89588325685165
120,71.38009028407191,244.50789851714637
137,134.62842010170456,307.75622833477905
204,83.97532622402596,257.1031344571004
316,105.98936697798706,279.1171752110615
272,54.053588167226536,227.181396400301
327,122.77252067173936,295.9003289048138
146,104.78007548955483,277.9078837226293
202,72.09308017627981,245.22088840935427
358,-25.083412129926614,148.04439610314785
325,128.83197263508987,301.95978086816433
242,12.858529138505034,185.9863373715795
116,115.56542406896509,288.6932323020395
239,86.59892120260855,259.726729435683
164,39.4255754433554,212.55338367642986
51,73.46981705072287,246.59762528379733
282,52.57313256714147,225.70094080021593
163,110.73244532713068,283.86025356020514
275,75.9358873101356,249.06369554321006
344,63.95907696151323,237.0868851945877
432,134.20827513436643,307.3360833674409
356,3.958236783623775,177.08604501669822
111,28.098627379999954,201.22643561307441
53,73.56545498635981,246.69326321943427
280,69.92370242711135,243.0515106601858
361,36.69814088009633,209.8259491131708
351,9.468088068241812,182.59589630131626
216,120.38029348376946,293.50810171684395
395,73.54686305968869,246.67467129276315
125,99.56047422259184,272.6882824556663
332,192.75580251318576,365.8836107462602
165,-6.980832663715248,166.1469755693592
30,77.36998538087721,250.49779361395167
317,88.64217553341749,261.7699837664919
36,108.54440020180766,281.6722084348821
352,-43.186321449384366,129.9414867836901
255,29.508043673954745,202.6358519070292
190,100.0649984482375,273.19280668131194
188,64.38714362377755,237.514951856852
422,115.15623952352206,288.2840477565965
306,46.26184401396887,219.38965224704333
