sample_id,positive_probability
55,0.999999999999
118,0.999999999999
97,1e-12
334,0.999999999999
304,0.999999999999
17,1e-12
5,0.999999999999
65,1e-12
247,1e-12
132,1e-12
274,1e-12
166,1e-12
48,0.999999999999
233,0.999999999999
140,1e-12
222,1e-12
323,1e-12
201,1e-12
18,0.999999999999
321,1e-12
286,0.999999999999
243,1e-12
13,1e-12
144,0.999999999999
187,0.999999999999
219,1e-12
41,1e-12
162,0.999999999999
204,0.999999999999
29,0.999999999999
82,1e-12
354,0.999999999999
231,0.999999999999
297,0.999999999999
165,0.999999999999
300,1e-12
205,0.999999999999
78,1e-12
355,0.999999999999
22,0.999999999999
349,0.999999999999
220,0.999999999999
348,1e-12
199,1e-12
275,1e-12
185,0.999999999999
61,0.999999999999
245,1e-12
86,1e-12
68,1e-12
184,1e-12
330,0.999999999999
261,0.999999999999
8,1e-12
260,1e-12
259,0.999999999999
116,7.695727340981138e-11
155,0.999999999999
173,1e-12
251,1e-12
124,1e-12
339,1e-12
88,2.0950092486400847e-12
288,0.999999999999
123,1e-12
356,0.999999999999
110,0.999999999999
218,1e-12
20,1e-12
99,0.999999999999
73,0.999999999999
70,0.999999999999
102,0.999999999999
26,1e-12
67,1e-12
49,0.999999999999
291,1e-12
179,0.999999999746497
3,0.999999999999
34,1e-12
351,1e-12
181,0.999999999999
176,1e-12
113,0.999999999999
71,1e-12
57,0.999999999999
0,1e-12
188,0.999999999999
223,0.9999999662314223
135,0.999999999999
