sample_id,positive_probability
55,9.999778782798785e-13
118,9.999778782798785e-13
97,0.999999999999
334,9.999778782798785e-13
304,9.999778782798785e-13
17,0.999999999999
5,9.999778782798785e-13
65,0.999999999999
247,0.999999999999
132,0.999999999999
274,0.999999999999
166,0.999999999999
48,9.999778782798785e-13
233,9.999778782798785e-13
140,0.999999999999
222,0.999999999999
323,0.999999999999
201,0.999999999999
18,9.999778782798785e-13
321,0.999999999999
286,9.999778782798785e-13
243,0.999999999999
13,0.999999999999
144,9.999778782798785e-13
187,9.999778782798785e-13
219,0.999999999999
41,0.999999999999
162,9.999778782798785e-13
204,9.999778782798785e-13
29,9.999778782798785e-13
82,0.999999999999
354,9.999778782798785e-13
231,9.999778782798785e-13
297,9.999778782798785e-13
165,9.999778782798785e-13
300,0.999999999999
205,9.999778782798785e-13
78,0.999999999999
355,9.999778782798785e-13
22,9.999778782798785e-13
349,9.999778782798785e-13
220,9.999778782798785e-13
348,0.999999999999
199,0.999999999999
275,0.999999999999
185,9.999778782798785e-13
61,9.999778782798785e-13
245,0.999999999999
86,0.999999999999
68,0.999999999999
184,0.999999999999
330,9.999778782798785e-13
261,9.999778782798785e-13
8,0.999999999999
260,0.999999999999
259,9.999778782798785e-13
116,0.9999999999230428
155,9.999778782798785e-13
173,0.999999999999
251,0.999999999999
124,0.999999999999
339,0.999999999999
88,0.999999999997905
288,9.999778782798785e-13
123,0.999999999999
356,9.999778782798785e-13
110,9.999778782798785e-13
218,0.999999999999
20,0.999999999999
99,9.999778782798785e-13
73,9.999778782798785e-13
70,9.999778782798785e-13
102,9.999778782798785e-13
26,0.999999999999
67,0.999999999999
49,9.999778782798785e-13
291,0.999999999999
179,2.5350299637239004e-10
3,9.999778782798785e-13
34,0.999999999999
351,0.999999999999
181,9.999778782798785e-13
176,0.999999999999
113,9.999778782798785e-13
71,0.999999999999
57,9.999778782798785e-13
0,0.999999999999
188,9.999778782798785e-13
223,3.376857771186792e-08
135,9.999778782798785e-13
